Rating,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,hourly,employer_provided,job_state,same_state,age,python,r,sas,spark,aws,sql,excel,matlab,desc_len,level,title,comp,name
4.4,164,14,1,1,30,13,10,86,141,113.5,0,0,2,0,25.0,1,0,0,0,0,0,1,0,889,2,3,3,218
3.9,163,158,6,1,28,12,1,94,154,124.0,0,0,2,1,4.0,1,0,0,0,0,1,0,0,4232,3,2,0,208
4.7,76,76,3,1,1,5,6,37,76,56.5,0,0,28,1,23.0,0,0,0,0,0,0,1,0,4523,0,0,0,341
4.5,96,89,4,5,2,1,0,100,160,130.0,0,0,17,1,78.0,1,0,0,0,0,0,1,0,3024,3,2,3,160
4.3,40,40,6,1,10,13,2,55,100,77.5,0,0,11,1,12.0,0,0,0,0,0,1,1,0,3706,3,0,3,233
4.0,10,6,3,1,12,5,9,60,114,87.0,0,0,34,1,18.0,1,0,0,0,1,1,1,0,3860,3,2,0,114
4.4,184,178,5,1,59,5,4,39,68,53.5,0,0,35,1,72.0,0,0,0,0,0,0,1,0,1819,2,0,0,135
3.2,142,16,1,2,15,21,3,106,172,139.0,0,0,32,0,58.0,0,0,0,0,0,1,0,1,3980,3,2,3,329
3.8,164,168,3,1,12,5,6,86,142,114.0,0,0,2,0,15.0,1,0,0,1,1,1,1,0,3847,3,2,0,174
4.2,113,106,5,1,18,13,4,64,107,85.5,0,0,7,1,12.0,1,0,0,1,0,1,1,0,3253,0,2,0,338
4.5,84,36,6,1,30,13,6,31,65,48.0,0,0,0,0,24.0,0,0,0,0,0,1,1,0,2279,0,2,0,196
3.5,121,115,6,1,18,13,12,34,62,48.0,0,0,15,1,21.0,0,0,0,0,0,1,1,0,2817,3,0,0,340
3.5,163,158,3,2,7,4,4,117,231,174.0,0,0,2,1,30.0,0,0,0,0,0,0,1,0,4798,3,4,3,200
3.9,14,40,4,2,21,9,0,64,106,85.0,0,0,8,0,52.0,1,0,1,1,0,1,0,0,2411,3,0,0,310
4.7,95,182,6,1,30,13,2,79,134,106.5,0,0,17,0,17.0,0,0,0,0,0,0,0,0,2746,2,4,0,151
